market,commodity,latest_date,current_modal_price,recent_7day_min,recent_7day_max,recent_7day_average,forecast_7day_average,expected_change_pct,procurement_signal,volatility_pct,anomaly_status,attention_score,attention_level
APMC Akluj ,Tomato,2026-09-06,1000.0,800.0,1000.0,957.14,1000.0,0.0,WATCH,8.22,NORMAL,20,LOW
Nagpur APMC,Onion,2026-07-27,2250.0,1500.0,3500.0,2850.0,2850.0,0.0,WATCH,5.0,NORMAL,20,LOW
Pune(Manjri) APMC,Potato,2026-07-31,1500.0,1500.0,1500.0,1500.0,1500.0,0.0,WATCH,0.0,NORMAL,0,LOW
Alibagh APMC,Rice,2026-07-31,4250.0,4250.0,4250.0,4250.0,4250.0,0.0,WATCH,0.0,NORMAL,0,LOW
Nagpur APMC,Wheat,2026-07-28,2552.0,2458.0,3500.0,2804.428571428572,2804.428571428572,0.0,WATCH,5.0,NORMAL,20,LOW
