state,market,commodity,arrival_date,variety,arrivals_mt,min_price,max_price,modal_price
Maharashtra,Pune(Manjri) APMC,Potato,2026-07-25,Other,4.7,1300.0,1600.0,1500.0
Maharashtra,Pune(Manjri) APMC,Potato,2026-07-26,Other,3.5,1400.0,1600.0,1500.0
Maharashtra,Pune(Manjri) APMC,Potato,2026-07-27,Other,2.9,1300.0,1600.0,1500.0
Maharashtra,Pune(Manjri) APMC,Potato,2026-07-28,Other,3.9,1400.0,1600.0,1500.0
Maharashtra,Pune(Manjri) APMC,Potato,2026-07-29,Other,3.1,1400.0,1600.0,1500.0
Maharashtra,Pune(Manjri) APMC,Potato,2026-07-30,Other,2.6,1400.0,1600.0,1500.0
Maharashtra,Pune(Manjri) APMC,Potato,2026-07-31,Other,1.7,1400.0,1700.0,1500.0
